URI,Label,Description,Type,EdgePropertyOf,SourceClass,TargetClass
http://schemas.scales-okn.org/rdf/scales#DisambiguatedEntity,Disambiguated Entity,A disambiguated entity that a given undisambiguated record represents.,Predicate,,http://schemas.scales-okn.org/rdf/scales#Party,http://schemas.scales-okn.org/rdf/scales#DisambiguatedEntity
http://schemas.scales-okn.org/rdf/scales#EntityReference,Entity Reference,A disambiguated entity referenced in the given text.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#RegisterAction,
http://schemas.scales-okn.org/rdf/scales#ExtraPartyText,Extra Party Text,A block of text providing additional information about a given PACER party.,Predicate,,http://schemas.scales-okn.org/rdf/scales#Party,
http://schemas.scales-okn.org/rdf/scales#FJCJudgeDirID,FJCJudge Dir ID,A unique ID that specifies a judge in the Federal Judicial Center's database of biographical data about federal judges.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Judge,
http://schemas.scales-okn.org/rdf/scales#FederalJudicialCircuit,Federal Judicial Circuit,A federal judicial circuit.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Court,
http://schemas.scales-okn.org/rdf/scales#HighestOffenseLevelOpening,Highest Offense Level Opening,"The highest offense level (felony, misdemeanor) applicable to a given PACER party at the time their associated criminal case was opened.",Predicate,,http://schemas.scales-okn.org/rdf/scales#Party,
http://schemas.scales-okn.org/rdf/scales#HighestOffenseLevelTerminated,Highest Offense Level Terminated,"The highest offense level (felony, misdemeanor) applicable to a given PACER party at the time they were terminated from their associated criminal case.",Predicate,,http://schemas.scales-okn.org/rdf/scales#Party,
http://schemas.scales-okn.org/rdf/scales#IdbAmtrec,Idb Amtrec,Dollar amount received (in thousands) when appropriate.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbAppcd,Idb Appcd,A code indicating the event by which a defendant appeared before a judicial officer in the district court where a charge was pending.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbAppdate,Idb Appdate,The date when a defendant first appeared before a judicial officer in the district court where a charge was pending.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbArbit,Idb Arbit,Method of participation in the Formal Arbitration Program.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbCaslgky,Idb Caslgky,"A concatenation of district, office, docket number, case type, and reopen sequence number.",Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbCircuit,Idb Circuit,The code of the federal judicial circuit where the case was located.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbClassact,Idb Classact,"Indicates whether the case involves an allegation by the plaintiff that the complaint meets the prerequisites of a ""Class Action"" as provided in Rule 23 - FRCVP.",Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbCounty,Idb County,The FIPS code used to indicate the county or parish where an offense was committed.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbCtdef,Idb Ctdef,A unique number assigned to each defendant in a case which can be modified by the court.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbCtfil,Idb Ctfil,A count of defendants filed excluding inter-district transfers.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbCtfilr,Idb Ctfilr,"A count of defendants filed whose proceedings commenced by reopen, remand, appeal, or retrial.",Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbCtfiltrn,Idb Ctfiltrn,A count of defendants filed including inter-district transfers.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbCtfilwor,Idb Ctfilwor,A count of original proceedings commenced.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbCtpn,Idb Ctpn,A count of defendants pending as of the last day of the period including long term fugitives.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbCtpnwof,Idb Ctpnwof,A count of defendants pending as of the last day of the period excluding long term fugitives.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbCttr,Idb Cttr,A count of defendants terminated excluding inter- district transfers.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbCttrr,Idb Cttrr,"A count of defendants terminated whose proceedings commenced by reopen, remand, appeal, or retrial.",Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbCttrtrn,Idb Cttrtrn,A count of defendants terminated including inter- district transfers.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbCttrwor,Idb Cttrwor,A count of original proceedings terminated.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbD2foffcd1,Idb D2foffcd1,The four digit D2 offense code associated with FTITLE1.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbD2foffcd2,Idb D2foffcd2,The four digit D2 offense code associated with FTITLE2.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbD2foffcd3,Idb D2foffcd3,The four digit D2 offense code associated with FTITLE3.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbD2foffcd4,Idb D2foffcd4,The four digit D2 offense code associated with FTITLE4.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbD2foffcd5,Idb D2foffcd5,The four digit D2 offense code associated with FTITLE5.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbD2toffcd1,Idb D2toffcd1,The four digit D2 offense code associated with TTITLE1.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbD2toffcd2,Idb D2toffcd2,The four digit D2 offense code associated with TTITLE2.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbD2toffcd3,Idb D2toffcd3,The four digit D2 offense code associated with TTITLE3.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbD2toffcd4,Idb D2toffcd4,The four digit D2 offense code associated with TTITLE4.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbD2toffcd5,Idb D2toffcd5,The four digit D2 offense code associated with TTITLE5.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbDef,Idb Def,A unique number assigned to each defendant in a case which can be modified by the court.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbDeflgky,Idb Deflgky,"A concatenation of district, office, docket number, case type, defendant number, and reopen sequence number.",Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbDefno,Idb Defno,A unique number assigned to each defendant in a case which cannot be modified by the court.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbDemanded,Idb Demanded,The monetary amount sought by plaintiff (in thousands).,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbDisp,Idb Disp,The manner in which the case was disposed of.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbDisp1,Idb Disp1,The code indicating the nature or type of disposition associated with TTITLE1.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbDisp2,Idb Disp2,The code indicating the nature or type of disposition associated with TTITLE2.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbDisp3,Idb Disp3,The code indicating the nature or type of disposition associated with TTITLE3.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbDisp4,Idb Disp4,The code indicating the nature or type of disposition associated with TTITLE4.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbDisp5,Idb Disp5,The code indicating the nature or type of disposition associated with TTITLE5.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbDispdate,Idb Dispdate,The date upon which judicial proceedings before the court concluded.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbDistrict,Idb District,The code of the federal judicial district where the case was located.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbDjoined,Idb Djoined,This term is defined in the IDB documentation as 'Data rarely entered in the past; this field is no longer being used.',Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbDocket,Idb Docket,Docket number assigned by the district to the case.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbFcounsel,Idb Fcounsel,A code indicating the type of legal counsel assigned to a defendant.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbFdateuse,Idb Fdateuse,This field is used to identify cases within a given statistical or fiscal year of filing as counted by the AO in published reports.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbFgenddate,Idb Fgenddate,The date upon which a fugitive defendant was taken into custody.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbFgstrtdate,Idb Fgstrtdate,The date upon which a defendant became a fugitive.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbFiledate,Idb Filedate,The date when a case was first docketed in the district court.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbFilejudg,Idb Filejudg,The statistical code for the judge to whom the case was originally assigned.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbFilemag,Idb Filemag,The code of the magistrate judge to whom all or part of the case was originally referred.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbFineamt1,Idb Fineamt1,The fine imposed upon the defendant at sentencing under TTITLE1.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbFineamt2,Idb Fineamt2,The fine imposed upon the defendant at sentencing under TTITLE2.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbFineamt3,Idb Fineamt3,The fine imposed upon the defendant at sentencing under TTITLE3.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbFineamt4,Idb Fineamt4,The fine imposed upon the defendant at sentencing under TTITLE4.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbFineamt5,Idb Fineamt5,The fine imposed upon the defendant at sentencing under TTITLE5.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbFinetot,Idb Finetot,The total fine imposed at sentencing for all offenses of which the defendant was convicted and a fine was imposed.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbFiscalyr,Idb Fiscalyr,The fiscal year of the data file obtained from the AOUSC.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbFjudge,Idb Fjudge,The statistical code associated with the judge assigned to the case at the time of filing or with the presiding judge.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbFoffcd1,Idb Foffcd1,The four digit AO offense code associated with FTITLE1.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbFoffcd2,Idb Foffcd2,The four digit AO offense code associated with FTITLE2.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbFoffcd3,Idb Foffcd3,The four digit AO offense code associated with FTITLE3.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbFoffcd4,Idb Foffcd4,The four digit AO offense code associated with FTITLE4.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbFoffcd5,Idb Foffcd5,The four digit AO offense code associated with FTITLE5.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbFofflvl1,Idb Fofflvl1,A code indicating the level of offense associated with FTITLE1.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbFofflvl2,Idb Fofflvl2,A code indicating the level of offense associated with FTITLE2.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbFofflvl3,Idb Fofflvl3,A code indicating the level of offense associated with FTITLE3.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbFofflvl4,Idb Fofflvl4,A code indicating the level of offense associated with FTITLE4.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbFofflvl5,Idb Fofflvl5,A code indicating the level of offense associated with FTITLE5.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbFsev1,Idb Fsev1,A code indicating the severity associated with FTITLE1.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbFsev2,Idb Fsev2,A code indicating the severity associated with FTITLE2.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbFsev3,Idb Fsev3,A code indicating the severity associated with FTITLE3.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbFsev4,Idb Fsev4,A code indicating the severity associated with FTITLE4.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbFsev5,Idb Fsev5,A code indicating the severity associated with FTITLE5.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbFtitle1,Idb Ftitle1,The title and section of the U.S. Code applicable to the offense committed which carried the highest severity.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbFtitle2,Idb Ftitle2,The title and section of the U.S. Code applicable to the offense committed which carried the second highest severity.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbFtitle3,Idb Ftitle3,The title and section of the U.S. Code applicable to the offense committed which carried the third highest severity.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbFtitle4,Idb Ftitle4,The title and section of the U.S. Code applicable to the offense committed which carried the fourth highest severity.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbFtitle5,Idb Ftitle5,The title and section of the U.S. Code applicable to the offense committed which carried the fifth highest severity.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbFugstat,Idb Fugstat,A code indicating the fugitive status of a defendant.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbIfp,Idb Ifp,In forma pauperis code.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbInt1,Idb Int1,The number of days from the earlier of filing date or first appearance date to proceeding date.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbInt2,Idb Int2,The number of days from proceeding date to disposition date.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbInt3,Idb Int3,The number of days from disposition date to sentencing date.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbJudgment,Idb Judgment,Indicates the party in whose favor the case was disposed of by entry of a final judgment.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbJuris,Idb Juris,The code which provides the basis for the US district court jurisdiction in the case.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbJury,Idb Jury,Indicates the party or parties demanding a jury trial.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbLoaddate,Idb Loaddate,The date the record was loaded into the AOUSC’s NewSTATS database.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbMagdef,Idb Magdef,A unique number assigned to each defendant in a magistrate case.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbMagdock,Idb Magdock,The docket number originally given to a case assigned to a magistrate judge and subsequently merged into a criminal case.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbMdldock,Idb Mdldock,A 4-digit multi district litigation docket number.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbName,Idb Name,"The defendant’s name as reported on the indictment, information, or other charging documents.",Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbNoj,Idb Noj,"For cases disposed of by an entry of a final judgment, indicates the nature of the judgment.",Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbNos,Idb Nos,A 3 digit statistical code representing the nature of the action filed.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbOffice,Idb Office,The code of the district office where the case was located.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbOrigin,Idb Origin,A single digit code describing the manner in which the case was filed in the district.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbPlt,Idb Plt,First listed plaintiff.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbPretrial,Idb Pretrial,This term is defined in the IDB documentation as 'Data rarely entered in the past; this field is no longer being used.',Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbPriscd1,Idb Priscd1,A code indicating whether the prison sentence associated with TTITLE1 was concurrent or consecutive in relation to the other counts in the indictment or information or multiple counts of the same charge.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbPriscd2,Idb Priscd2,A code indicating whether the prison sentence associated with TTITLE2 was concurrent or consecutive in relation to the other counts in the indictment or information or multiple counts of the same charge.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbPriscd3,Idb Priscd3,A code indicating whether the prison sentence associated with TTITLE3 was concurrent or consecutive in relation to the other counts in the indictment or information or multiple counts of the same charge.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbPriscd4,Idb Priscd4,A code indicating whether the prison sentence associated with TTITLE4 was concurrent or consecutive in relation to the other counts in the indictment or information or multiple counts of the same charge.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbPriscd5,Idb Priscd5,A code indicating whether the prison sentence associated with TTITLE5 was concurrent or consecutive in relation to the other counts in the indictment or information or multiple counts of the same charge.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbPristim1,Idb Pristim1,The number of months a defendant was sentenced to prison under TTITLE1.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbPristim2,Idb Pristim2,The number of months a defendant was sentenced to prison under TTITLE2.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbPristim3,Idb Pristim3,The number of months a defendant was sentenced to prison under TTITLE3.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbPristim4,Idb Pristim4,The number of months a defendant was sentenced to prison under TTITLE4.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbPristim5,Idb Pristim5,The number of months a defendant was sentenced to prison under TTITLE5.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbPristot,Idb Pristot,The total prison time for all offenses of which the defendant was convicted and prison time was imposed.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbProbcd1,Idb Probcd1,A code indicating whether the probation sentence associated with TTITLE1 was concurrent or consecutive in relation to the other counts in the indictment or information or multiple counts of the same charge.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbProbcd2,Idb Probcd2,A code indicating whether the probation sentence associated with TTITLE2 was concurrent or consecutive in relation to the other counts in the indictment or information or multiple counts of the same charge.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbProbcd3,Idb Probcd3,A code indicating whether the probation sentence associated with TTITLE3 was concurrent or consecutive in relation to the other counts in the indictment or information or multiple counts of the same charge.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbProbcd4,Idb Probcd4,A code indicating whether the probation sentence associated with TTITLE4 was concurrent or consecutive in relation to the other counts in the indictment or information or multiple counts of the same charge.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbProbcd5,Idb Probcd5,A code indicating whether the probation sentence associated with TTITLE5 was concurrent or consecutive in relation to the other counts in the indictment or information or multiple counts of the same charge.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbProbmon1,Idb Probmon1,1 The number of months of probation imposed upon a defendant under TTITLE1.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbProbmon2,Idb Probmon2,2 The number of months of probation imposed upon a defendant under TTITLE2.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbProbmon3,Idb Probmon3,3 The number of months of probation imposed upon a defendant under TTITLE3.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbProbmon4,Idb Probmon4,4 The number of months of probation imposed upon a defendant under TTITLE4.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbProbmon5,Idb Probmon5,5 The number of months of probation imposed upon a defendant under TTITLE5.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbProbtot,Idb Probtot,The total probation time for all offenses of which the defendant was convicted and probation was imposed.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbProccd,Idb Proccd,A code used to identify the nature of the proceeding.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbProcdate,Idb Procdate,"The date upon which proceedings in a case commenced on charges pending in the district court where the defendant appeared, or the date of the defendant’s felony-waiver of indictment.",Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbProcprog,Idb Procprog,The point to which the case had progressed when it was disposed of.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbProse,Idb Prose,Pro se code.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbReopseq,Idb Reopseq,A sequential number indicating whether a case is an original proceeding or a reopen.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbResidenc,Idb Residenc,"For cases that involve diversity of citizenship for the plaintiff and defendant, indicates the citizenship of the plaintiff and defendant.",Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbSection,Idb Section,This term is defined in the IDB documentation as 'This field is optional.',Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbSentdate,Idb Sentdate,The date upon which the final sentence is recorded on the docket.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbSource,Idb Source,The source from which the data were loaded into the AOUSC’s NewSTATS database.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbStatuscd,Idb Statuscd,The status of the defendant as assigned by the AOUSC.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://schemas.scales-okn.org/rdf/scales#IdbSubsect,Idb Subsect,This term is defined in the IDB documentation as 'This field is optional.',Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
