URI,Label,Description,Type,EdgePropertyOf,SourceClass,TargetClass
http://release.niem.gov/niem/domains/jxdm/7.2/#ArrestSubject,Arrest Subject,A person who is arrested.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Arrest,http://release.niem.gov/niem/niem-core/5.0/#Person
http://release.niem.gov/niem/domains/jxdm/7.2/#Attorney,Attorney,A person admitted to practice law in his or her respective state and authorized to perform both civil and criminal legal functions for clients.,Predicate,,http://schemas.scales-okn.org/rdf/scales#Party,http://release.niem.gov/niem/domains/jxdm/7.2/#Attorney
http://release.niem.gov/niem/domains/jxdm/7.2/#BailBondAmount,Bail Bond Amount,A monetary amount approved for bond.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Charge,
http://release.niem.gov/niem/domains/jxdm/7.2/#BailBondType,Bail Bond Type,A data type for an agreement between a bondsman and a subject in which a bondsman pays the subject's bail or portion of the bail in exchange for certain conditions.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Charge,
http://release.niem.gov/niem/domains/jxdm/7.2/#Booking,Booking,"An administrative step taken after an arrested subject is brought to a police station or detention facility, which involves entry of the subject's name and other relevant facts on the police blotter, and which may also include photographing.",Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Charge,http://release.niem.gov/niem/domains/jxdm/7.2/#Booking
http://release.niem.gov/niem/domains/jxdm/7.2/#BookingFacility,Booking Facility,A police station or a detention facility where a booking occurs.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Booking,http://release.niem.gov/niem/domains/jxdm/7.2/#BookingFacility
http://release.niem.gov/niem/domains/jxdm/7.2/#BookingSubject,Booking Subject,A person who is booked.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Booking,http://release.niem.gov/niem/niem-core/5.0/#Person
http://release.niem.gov/niem/domains/jxdm/7.2/#CaseCharge,Case Charge,A charge or accusation a person is being tried for in a court of law.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,http://release.niem.gov/niem/domains/jxdm/7.2/#Charge
http://release.niem.gov/niem/domains/jxdm/7.2/#CaseCourt,Case Court,A court of law in which the case is being tried.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,http://release.niem.gov/niem/domains/jxdm/7.2/#Court
http://release.niem.gov/niem/domains/jxdm/7.2/#CaseDefendantParty,Case Defendant Party,An entity being charged or sued in a court of law.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,http://schemas.scales-okn.org/rdf/scales#Party
http://release.niem.gov/niem/domains/jxdm/7.2/#CaseDefenseAttorney,Case Defense Attorney,An attorney who defends a case.,Predicate,,http://schemas.scales-okn.org/rdf/scales#Party,http://release.niem.gov/niem/domains/jxdm/7.2/#Attorney
http://release.niem.gov/niem/domains/jxdm/7.2/#CaseInitiatingAttorney,Case Initiating Attorney,"An attorney in a court case representing the party that filed a petition for a court order or writ requiring the respondent to take some action, halt an activity, or obey a court's direction.",Predicate,,http://schemas.scales-okn.org/rdf/scales#Party,http://release.niem.gov/niem/domains/jxdm/7.2/#Attorney
http://release.niem.gov/niem/domains/jxdm/7.2/#CaseInitiatingParty,Case Initiating Party,An entity that brings charges or a suit against another in a court of law. Can be either a victim in a criminal case or a plaintiff in a civil case.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,http://schemas.scales-okn.org/rdf/scales#Party
http://release.niem.gov/niem/domains/jxdm/7.2/#CaseJudge,Case Judge,A judicial official assigned to a case.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,http://release.niem.gov/niem/domains/jxdm/7.2/#Judge
http://release.niem.gov/niem/domains/jxdm/7.2/#CaseOfficialRoleText,Case Official Role Text,A role a justice official played in a court case.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Attorney,
http://release.niem.gov/niem/domains/jxdm/7.2/#CaseOfficialRoleText,Case Official Role Text,A role a justice official played in a court case.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Judge,
http://release.niem.gov/niem/domains/jxdm/7.2/#ChargeDisposition,Charge Disposition,A result or processing of a charge.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Charge,
http://release.niem.gov/niem/domains/jxdm/7.2/#ChargeSentence,Charge Sentence,A sentence given to a person convicted of a charge.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Charge,http://release.niem.gov/niem/domains/jxdm/7.2/#Sentence
http://release.niem.gov/niem/domains/jxdm/7.2/#ChargeSequenceID,Charge Sequence ID,A sequentially assigned identifier for charge tracking purposes.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Charge,
http://release.niem.gov/niem/domains/jxdm/7.2/#ChargeSeverityLevel,Charge Severity Level,A severity level of a charge.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Charge,
http://release.niem.gov/niem/domains/jxdm/7.2/#ChargeSubject,Charge Subject,A person accused of committing a specific offense.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Charge,http://release.niem.gov/niem/niem-core/5.0/#Person
http://release.niem.gov/niem/domains/jxdm/7.2/#ChargeText,Charge Text,A text of a charge.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Charge,
http://release.niem.gov/niem/domains/jxdm/7.2/#CourtCategoryCode,Court Category Code,A kind of court.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Court,
http://release.niem.gov/niem/domains/jxdm/7.2/#CourtName,Court Name,A name of a unit of a court.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Court,
http://release.niem.gov/niem/domains/jxdm/7.2/#DrugCategoryCode,Drug Category Code,A kind of drug.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Charge,
http://release.niem.gov/niem/domains/jxdm/7.2/#EnforcementOfficialBadgeIdentification,Enforcement Official Badge Identification,An identification used to refer to an enforcement official.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#EnforcementOfficial,
http://release.niem.gov/niem/domains/jxdm/7.2/#IncidentArrest,Incident Arrest,An arrest made because of an incident.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#Incident,http://release.niem.gov/niem/domains/jxdm/7.2/#Arrest
http://release.niem.gov/niem/domains/jxdm/7.2/#JudicialOfficialCategoryText,Judicial Official Category Text,A kind of judicial official.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Judge,
http://release.niem.gov/niem/domains/jxdm/7.2/#OrganizationCategoryNLETSCode,Organization Category NLETSCode,A functional kind of an organization.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#ArrestAgency,
http://release.niem.gov/niem/domains/jxdm/7.2/#ParticipantRoleCategoryText,Participant Role Category Text,A kind of role of a participant.,Predicate,,http://schemas.scales-okn.org/rdf/scales#Party,
http://release.niem.gov/niem/domains/jxdm/7.2/#PersonCharge,Person Charge,A sequence of charges against a person.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#Person,http://release.niem.gov/niem/domains/jxdm/7.2/#Charge
http://release.niem.gov/niem/domains/jxdm/7.2/#PersonCharge,Person Charge,A sequence of charges against a person.,Predicate,,http://schemas.scales-okn.org/rdf/scales#Party,http://release.niem.gov/niem/domains/jxdm/7.2/#Charge
http://release.niem.gov/niem/domains/jxdm/7.2/#PersonSexCode,Person Sex Code,A code set identifying a gender or sex of a person.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#Person,
http://release.niem.gov/niem/domains/jxdm/7.2/#PersonSexCode,Person Sex Code,A code set identifying a gender or sex of a person.,Predicate,,http://schemas.scales-okn.org/rdf/scales#Party,
http://release.niem.gov/niem/domains/jxdm/7.2/#RegisterAction,Register Action,A history of action for a case.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,http://release.niem.gov/niem/domains/jxdm/7.2/#RegisterAction
http://release.niem.gov/niem/domains/jxdm/7.2/#RegisterAction,Register Action,A history of action for a case.,Predicate,,http://schemas.scales-okn.org/rdf/scales#Party,http://release.niem.gov/niem/domains/jxdm/7.2/#RegisterAction
http://release.niem.gov/niem/domains/jxdm/7.2/#RegisterActionDate,Register Action Date,A date an action took place in a register of actions.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#RegisterAction,
http://release.niem.gov/niem/domains/jxdm/7.2/#RegisterActionDescriptionText,Register Action Description Text,A description of something that happened in a case in a register of actions entry.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#RegisterAction,
http://release.niem.gov/niem/domains/jxdm/7.2/#Sentence,Sentence,A punishment resulting from conviction of charges in a court case.,Predicate,,http://schemas.scales-okn.org/rdf/scales#Party,http://release.niem.gov/niem/domains/jxdm/7.2/#Sentence
http://release.niem.gov/niem/domains/jxdm/7.2/#SentenceDescriptionText,Sentence Description Text,A description of the sentence being imposed.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Sentence,
http://release.niem.gov/niem/domains/jxdm/7.2/#SentenceTerm,Sentence Term,A duration of a sentence. Specified as either a specific term in days-months-years or as a minimum-maximum range.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Sentence,http://release.niem.gov/niem/domains/jxdm/7.2/#SentenceTerm
http://release.niem.gov/niem/domains/jxdm/7.2/#StatuteKeywordText,Statute Keyword Text,A brief description of a Statute which makes use of catchwords.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://release.niem.gov/niem/domains/jxdm/7.2/#TermDuration,Term Duration,A specific range or duration of a term.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#SentenceTerm,
http://release.niem.gov/niem/niem-core/5.0/#ActivityDate,Activity Date,A date of an activity.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Arrest,
http://release.niem.gov/niem/niem-core/5.0/#ActivityDate,Activity Date,A date of an activity.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#Incident,
http://release.niem.gov/niem/niem-core/5.0/#AddressPostalCode,Address Postal Code,An identifier of a post office-assigned zone for an address.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Court,
http://release.niem.gov/niem/niem-core/5.0/#AdministrativeID,Administrative ID,An identifier generated locally within a processing system used to identify sub-records within an entity-of-interest record.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Arrest,
http://release.niem.gov/niem/niem-core/5.0/#AdministrativeID,Administrative ID,An identifier generated locally within a processing system used to identify sub-records within an entity-of-interest record.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#RegisterAction,
http://release.niem.gov/niem/niem-core/5.0/#CaseDocketID,Case Docket ID,An identifier used to reference a case docket.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://release.niem.gov/niem/niem-core/5.0/#CaseGeneralCategoryText,Case General Category Text,A broadly defined kind of case.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://release.niem.gov/niem/niem-core/5.0/#CaseSubCategoryText,Case Sub Category Text,A more specific classification of a kind of case.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://release.niem.gov/niem/niem-core/5.0/#ContactMailingAddress,Contact Mailing Address,A postal address by which a person or organization may be contacted.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Attorney,
http://release.niem.gov/niem/niem-core/5.0/#CourtCase,Court Case,A court case.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Charge,http://release.niem.gov/niem/niem-core/5.0/#CourtCase
http://release.niem.gov/niem/niem-core/5.0/#DispositionCategoryText,Disposition Category Text,A kind of disposition.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Charge,
http://release.niem.gov/niem/niem-core/5.0/#DocumentSequenceID,Document Sequence ID,An identifier that determines the document order in a set of related documents.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#RegisterAction,
http://release.niem.gov/niem/niem-core/5.0/#EndDate,End Date,An end date.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Booking,
http://release.niem.gov/niem/niem-core/5.0/#EndDate,End Date,An end date.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://release.niem.gov/niem/niem-core/5.0/#EntityName,Entity Name,A name of an entity.,Predicate,,http://schemas.scales-okn.org/rdf/scales#Party,
http://release.niem.gov/niem/niem-core/5.0/#FacilityName,Facility Name,A name of a facility.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#BookingFacility,
http://release.niem.gov/niem/niem-core/5.0/#Incident,Incident,An occurrence or an event that may require a response.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Arrest,http://release.niem.gov/niem/niem-core/5.0/#Incident
http://release.niem.gov/niem/niem-core/5.0/#Jurisdiction,Jurisdiction,"A geopolitical area in which an organization, person, or object has a specific range of authority.",Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#ArrestAgency,http://release.niem.gov/niem/niem-core/5.0/#Jurisdiction
http://release.niem.gov/niem/niem-core/5.0/#JurisdictionText,Jurisdiction Text,An area in which an organization or person has some kind of authoritative capacity or responsibility over.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://release.niem.gov/niem/niem-core/5.0/#Location,Location,A geospatial location.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Arrest,http://release.niem.gov/niem/niem-core/5.0/#Location
http://release.niem.gov/niem/niem-core/5.0/#MeasureDecimalValue,Measure Decimal Value,A decimal measurement value.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#RelativeLocationDistanceMeasure,
http://release.niem.gov/niem/niem-core/5.0/#MeasureIntegerValue,Measure Integer Value,An integer measurement value.,Predicate,,http://release.niem.gov/niem/auxiliary/statistics/5.0/#Population,http://release.niem.gov/niem/niem-core/5.0/#MeasureIntegerValue
http://release.niem.gov/niem/niem-core/5.0/#MeasureUnitText,Measure Unit Text,A unit that qualifies the measurement value.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#RelativeLocationDistanceMeasure,
http://release.niem.gov/niem/niem-core/5.0/#OrganizationLocation,Organization Location,A location of an organization.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#ArrestAgency,
http://release.niem.gov/niem/niem-core/5.0/#OrganizationName,Organization Name,A name of an organization.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#ArrestAgency,
http://release.niem.gov/niem/niem-core/5.0/#OrganizationName,Organization Name,A name of an organization.,Predicate,,http://schemas.scales-okn.org/rdf/scales#LawFirm,
http://release.niem.gov/niem/niem-core/5.0/#PersonEthnicityText,Person Ethnicity Text,A cultural lineage of a person.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#Person,
http://release.niem.gov/niem/niem-core/5.0/#PersonFullName,Person Full Name,A complete name of a person.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Attorney,
http://release.niem.gov/niem/niem-core/5.0/#PersonFullName,Person Full Name,A complete name of a person.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Judge,
http://release.niem.gov/niem/niem-core/5.0/#PersonRaceText,Person Race Text,A classification of a person based on factors such as geographical locations and genetics.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Judge,
http://release.niem.gov/niem/niem-core/5.0/#PersonRaceText,Person Race Text,A classification of a person based on factors such as geographical locations and genetics.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#Person,
http://release.niem.gov/niem/niem-core/5.0/#PersonRaceText,Person Race Text,A classification of a person based on factors such as geographical locations and genetics.,Predicate,,http://schemas.scales-okn.org/rdf/scales#Party,
http://release.niem.gov/niem/niem-core/5.0/#PersonSexText,Person Sex Text,A gender or sex of a person.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Judge,
http://release.niem.gov/niem/niem-core/5.0/#PhysicalAddress,Physical Address,A physical address for a location. This may or may not be the same as the location's mailing address.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#BookingFacility,
http://release.niem.gov/niem/niem-core/5.0/#PopulationReferencePeriodDate,Population Reference Period Date,A time period or date to which the population is associated.,Predicate,,http://release.niem.gov/niem/auxiliary/statistics/5.0/#Population,http://release.niem.gov/niem/niem-core/5.0/#PopulationReferencePeriodDate
http://release.niem.gov/niem/niem-core/5.0/#RelativeLocation,Relative Location,A location identified by its proximity to another location.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#Location,http://release.niem.gov/niem/niem-core/5.0/#RelativeLocation
http://release.niem.gov/niem/niem-core/5.0/#RelativeLocationDistanceMeasure,Relative Location Distance Measure,A measurement of the distance of a location from a starting point.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#RelativeLocation,http://release.niem.gov/niem/niem-core/5.0/#RelativeLocationDistanceMeasure
http://release.niem.gov/niem/niem-core/5.0/#RelativeLocationReferencePoint,Relative Location Reference Point,A starting point used as a basis to determine the location of another point.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#RelativeLocation,http://release.niem.gov/niem/niem-core/5.0/#Location
http://release.niem.gov/niem/niem-core/5.0/#StartDate,Start Date,A date on which something begins.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Booking,
http://release.niem.gov/niem/niem-core/5.0/#StartDate,Start Date,A date on which something begins.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://release.niem.gov/niem/niem-core/5.0/#StatusDescriptionText,Status Description Text,A description of a status or condition of something or someone.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://release.niem.gov/niem/niem-core/5.0/#URLID,URLID,An identifier representing a universal resource locator (URL).,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Judge,
http://sail.ua.edu/ruralkg/treatmentprovider/TreatmentProvider,Treatment Provider,"An entity, such as a clinic or hospital, that offers treatment.",Predicate,,http://release.niem.gov/niem/niem-core/5.0/#Location,http://sail.ua.edu/ruralkg/treatmentprovider/TreatmentProvider
http://schemas.scales-okn.org/rdf/scales#AssignedJudge,Assigned Judge,A defendant to which a given judge was assigned.,Predicate,,http://schemas.scales-okn.org/rdf/scales#Party,http://release.niem.gov/niem/domains/jxdm/7.2/#Judge
http://schemas.scales-okn.org/rdf/scales#BirthYear,Birth Year,The year a person was born.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#Person,
http://schemas.scales-okn.org/rdf/scales#BirthYear,Birth Year,The year a person was born.,Predicate,,http://schemas.scales-okn.org/rdf/scales#Party,
http://schemas.scales-okn.org/rdf/scales#CIKNumber,CIKNumber,A Central Index Key (CIK) number assigned by the SEC to the given company.,Predicate,,http://schemas.scales-okn.org/rdf/scales#DisambiguatedEntity,
http://schemas.scales-okn.org/rdf/scales#ChargeLifecyclePhase,Charge Lifecycle Phase,The lifecycle phase (pending or terminated) that a given PACER charge was in when its associated docket sheet was scraped.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Charge,
http://schemas.scales-okn.org/rdf/scales#CommissionDate,Commission Date,The date on which the US president signed the commission formalizing the appointment of a given judge.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Judge,
http://schemas.scales-okn.org/rdf/scales#DisambiguatedEntity,Disambiguated Entity,A disambiguated entity that a given undisambiguated record represents.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Attorney,http://schemas.scales-okn.org/rdf/scales#DisambiguatedEntity
http://schemas.scales-okn.org/rdf/scales#DisambiguatedEntity,Disambiguated Entity,A disambiguated entity that a given undisambiguated record represents.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Judge,http://schemas.scales-okn.org/rdf/scales#DisambiguatedEntity
http://schemas.scales-okn.org/rdf/scales#DisambiguatedEntity,Disambiguated Entity,A disambiguated entity that a given undisambiguated record represents.,Predicate,,http://schemas.scales-okn.org/rdf/scales#LawFirm,http://schemas.scales-okn.org/rdf/scales#DisambiguatedEntity
